rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country
73,whinderssonnunes,79,2700.0,0.32599118942731276,0.34661156651536706,0.0058,323100.0,0.5319905177306902,Brazil
74,9gag,86,10000.0,0.31843926998112027,0.1371858275184608,0.0044,248600.0,0.8112378853689556,United States
75,marcelotwelve,86,2700.0,0.31843926998112027,0.14131833886593048,0.0078000000000000005,448300.0,0.22846077029779302,Brazil
76,milliebobbybrown,80,280.0,0.3121460037759597,0.8885802678228665,0.0863,3018875.0,0.13133125111926594,United States
77,karimbenzema,42,2000.0,0.30333543108873506,0.18368222568480003,0.016200000000000003,918900.0,0.21631958040047713,Spain
78,chrishemsworth,86,880.0,0.29074889867841414,0.6175959171691168,0.0369,2100000.0,0.3013079096816883,Australia
79,karolg,83,3300.0,0.28697293895531784,0.6853420048325543,0.1025,3018875.0,0.9999999999999999,India
80,paulpogba,80,1300.0,0.2819383259911894,0.30144750807307547,0.0085,462600.0,0.21631958040047713,France
81,iamzlatanibrahimovic,86,870.0,0.28067967275015737,0.3240295372942213,0.015300000000000001,837100.0,0.1556136309138977,Unknown
82,leonardodicaprio,86,1700.0,0.2743864065449969,0.07461102454666577,0.002,107600.0,0.07903914623152641,Unknown
83,juventus,87,10000.0,0.27312775330396477,0.02928889189982612,0.0025,135500.0,0.22846077029779302,Unknown
84,zacefron,86,660.0,0.27312775330396477,0.5046857710633877,0.0818,3018875.0,0.17989601070852948,United States
85,bellahadid,79,3200.0,0.26809314033983644,0.233701420409638,0.0206,1100000.0,0.43486099855216304,United Kingdom
86,tatawerneck,86,5600.0,0.26557583385777217,0.20204141544159157,0.0051,266500.0,0.653402416703849,Brazil
87,beingsalmankhan,76,1200.0,0.26054122089364384,0.30144750807307547,0.013300000000000001,693900.0,0.19203720060584537,India
88,robertdowneyjr,86,420.0,0.2592825676526117,0.6627599756114084,0.020499999999999997,1100000.0,0.1556136309138977,United States
89,sunnyleone,84,4600.0,0.2592825676526117,0.15782580222658807,0.005699999999999999,301300.0,0.42271980865484715,Unknown
90,ladygaga,83,3600.0,0.25676526117054754,0.30144750807307547,0.0102,531600.0,0.6169788470119014,United States
